words,sentiment_coeff
 ,2.0062068690557835
n,1.8103206076567537
o,2.2451799017931333
t,1.7380013268311385
m,1.6870827296520088
u,1.7582151513486421
c,1.88484168769446
h,2.3660641964514286
w,2.017247112852259
r,1.4569414078618417
i,1.773807322925784
e,1.5881295571671712
a,2.329723248095037
b,1.7413739831404529
d,2.1021544409597452
s,2.139503390998316
x,-1.4230815924149154
l,1.9715702458023072
y,1.4484714692908092
p,1.6125918003742525
f,2.3323521820338917
g,1.6994182259850474
z,-0.9486530712285125
k,1.5923193957035955
q,1.6927882492833226
v,1.7982200117032185
j,1.2758075756853877
1,-3.8709639990024507
9,-1.8393469949957273
8,-2.854213159187303
0,-2.9088050910065593
3,-1.4417231108295008
5,-3.1154647898805496
2,-2.9330057473820066
4,-1.3801470409272587
6,-4.610385189309873
7,-2.443980344744331
